Symptom,Disease,Specialist,Disease_Label,Description
 vomiting  breathlessness  sweating  chest_pain,Heart attack,Cardiologist,18,"The death of heart muscle due to the loss of blood supply. The loss of blood supply is usually caused by a complete blockage of a coronary artery, one of the arteries that supplies blood to the heart muscle."
 breathlessness  sweating  chest_pain,Heart attack,Cardiologist,18,"The death of heart muscle due to the loss of blood supply. The loss of blood supply is usually caused by a complete blockage of a coronary artery, one of the arteries that supplies blood to the heart muscle."
 vomiting  sweating  chest_pain,Heart attack,Cardiologist,18,"The death of heart muscle due to the loss of blood supply. The loss of blood supply is usually caused by a complete blockage of a coronary artery, one of the arteries that supplies blood to the heart muscle."
 vomiting  breathlessness  chest_pain,Heart attack,Cardiologist,18,"The death of heart muscle due to the loss of blood supply. The loss of blood supply is usually caused by a complete blockage of a coronary artery, one of the arteries that supplies blood to the heart muscle."
 vomiting  breathlessness  sweating,Heart attack,Cardiologist,18,"The death of heart muscle due to the loss of blood supply. The loss of blood supply is usually caused by a complete blockage of a coronary artery, one of the arteries that supplies blood to the heart muscle."
 vomiting  breathlessness  sweating  chest_pain,Heart attack,Cardiologist,18,"The death of heart muscle due to the loss of blood supply. The loss of blood supply is usually caused by a complete blockage of a coronary artery, one of the arteries that supplies blood to the heart muscle."
 breathlessness  sweating  chest_pain,Heart attack,Cardiologist,18,"The death of heart muscle due to the loss of blood supply. The loss of blood supply is usually caused by a complete blockage of a coronary artery, one of the arteries that supplies blood to the heart muscle."
 vomiting  sweating  chest_pain,Heart attack,Cardiologist,18,"The death of heart muscle due to the loss of blood supply. The loss of blood supply is usually caused by a complete blockage of a coronary artery, one of the arteries that supplies blood to the heart muscle."
 vomiting  breathlessness  chest_pain,Heart attack,Cardiologist,18,"The death of heart muscle due to the loss of blood supply. The loss of blood supply is usually caused by a complete blockage of a coronary artery, one of the arteries that supplies blood to the heart muscle."
 fatigue  cramps  bruising  obesity  swollen_legs  swollen_blood_vessels  prominent_veins_on_calf,Varicose veins,Phlebologist,39,"A vein that has enlarged and twisted, often appearing as a bulging, blue blood vessel that is clearly visible through the skin. Varicose veins are most common in older adults, particularly women, and occur especially on the legs."
 fatigue  cramps  bruising  obesity  swollen_legs  swollen_blood_vessels  prominent_veins_on_calf,Varicose veins,Phlebologist,39,"A vein that has enlarged and twisted, often appearing as a bulging, blue blood vessel that is clearly visible through the skin. Varicose veins are most common in older adults, particularly women, and occur especially on the legs."
 cramps  bruising  obesity  swollen_legs  swollen_blood_vessels  prominent_veins_on_calf,Varicose veins,Phlebologist,39,"A vein that has enlarged and twisted, often appearing as a bulging, blue blood vessel that is clearly visible through the skin. Varicose veins are most common in older adults, particularly women, and occur especially on the legs."
 fatigue  bruising  obesity  swollen_legs  swollen_blood_vessels  prominent_veins_on_calf,Varicose veins,Phlebologist,39,"A vein that has enlarged and twisted, often appearing as a bulging, blue blood vessel that is clearly visible through the skin. Varicose veins are most common in older adults, particularly women, and occur especially on the legs."
 fatigue  cramps  obesity  swollen_legs  swollen_blood_vessels  prominent_veins_on_calf,Varicose veins,Phlebologist,39,"A vein that has enlarged and twisted, often appearing as a bulging, blue blood vessel that is clearly visible through the skin. Varicose veins are most common in older adults, particularly women, and occur especially on the legs."
 fatigue  cramps  bruising  swollen_legs  swollen_blood_vessels  prominent_veins_on_calf,Varicose veins,Phlebologist,39,"A vein that has enlarged and twisted, often appearing as a bulging, blue blood vessel that is clearly visible through the skin. Varicose veins are most common in older adults, particularly women, and occur especially on the legs."
 fatigue  cramps  bruising  obesity  swollen_blood_vessels  prominent_veins_on_calf,Varicose veins,Phlebologist,39,"A vein that has enlarged and twisted, often appearing as a bulging, blue blood vessel that is clearly visible through the skin. Varicose veins are most common in older adults, particularly women, and occur especially on the legs."
 fatigue  cramps  bruising  obesity  swollen_legs  prominent_veins_on_calf,Varicose veins,Phlebologist,39,"A vein that has enlarged and twisted, often appearing as a bulging, blue blood vessel that is clearly visible through the skin. Varicose veins are most common in older adults, particularly women, and occur especially on the legs."
 fatigue  cramps  bruising  obesity  swollen_legs  swollen_blood_vessels,Varicose veins,Phlebologist,39,"A vein that has enlarged and twisted, often appearing as a bulging, blue blood vessel that is clearly visible through the skin. Varicose veins are most common in older adults, particularly women, and occur especially on the legs."
 fatigue  cramps  bruising  obesity  swollen_legs  prominent_veins_on_calf,Varicose veins,Phlebologist,39,"A vein that has enlarged and twisted, often appearing as a bulging, blue blood vessel that is clearly visible through the skin. Varicose veins are most common in older adults, particularly women, and occur especially on the legs."
 fatigue  weight_gain  cold_hands_and_feets  mood_swings  lethargy  dizziness  puffy_face_and_eyes  enlarged_thyroid  brittle_nails  swollen_extremeties  depression  irritability  abnormal_menstruation,Hypothyroidism,Endocrinologist,26,"Hypothyroidism, also called underactive thyroid or low thyroid, is a disorder of the endocrine system in which the thyroid gland does not produce enough thyroid hormone."
 fatigue  weight_gain  cold_hands_and_feets  mood_swings  lethargy  dizziness  puffy_face_and_eyes  enlarged_thyroid  brittle_nails  swollen_extremeties  depression  irritability  abnormal_menstruation,Hypothyroidism,Endocrinologist,26,"Hypothyroidism, also called underactive thyroid or low thyroid, is a disorder of the endocrine system in which the thyroid gland does not produce enough thyroid hormone."
 weight_gain  cold_hands_and_feets  mood_swings  lethargy  dizziness  puffy_face_and_eyes  enlarged_thyroid  brittle_nails  swollen_extremeties  depression  irritability  abnormal_menstruation,Hypothyroidism,Endocrinologist,26,"Hypothyroidism, also called underactive thyroid or low thyroid, is a disorder of the endocrine system in which the thyroid gland does not produce enough thyroid hormone."
 weight_gain  cold_hands_and_feets  mood_swings  lethargy  dizziness  puffy_face_and_eyes  enlarged_thyroid  brittle_nails  swollen_extremeties  depression  irritability  abnormal_menstruation,Hypothyroidism,Endocrinologist,26,"Hypothyroidism, also called underactive thyroid or low thyroid, is a disorder of the endocrine system in which the thyroid gland does not produce enough thyroid hormone."
 fatigue  cold_hands_and_feets  mood_swings  lethargy  dizziness  puffy_face_and_eyes  enlarged_thyroid  brittle_nails  swollen_extremeties  depression  irritability  abnormal_menstruation,Hypothyroidism,Endocrinologist,26,"Hypothyroidism, also called underactive thyroid or low thyroid, is a disorder of the endocrine system in which the thyroid gland does not produce enough thyroid hormone."
 fatigue  weight_gain  mood_swings  lethargy  dizziness  puffy_face_and_eyes  enlarged_thyroid  brittle_nails  swollen_extremeties  depression  irritability  abnormal_menstruation,Hypothyroidism,Endocrinologist,26,"Hypothyroidism, also called underactive thyroid or low thyroid, is a disorder of the endocrine system in which the thyroid gland does not produce enough thyroid hormone."
 fatigue  weight_gain  cold_hands_and_feets  lethargy  dizziness  puffy_face_and_eyes  enlarged_thyroid  brittle_nails  swollen_extremeties  depression  irritability  abnormal_menstruation,Hypothyroidism,Endocrinologist,26,"Hypothyroidism, also called underactive thyroid or low thyroid, is a disorder of the endocrine system in which the thyroid gland does not produce enough thyroid hormone."
 fatigue  weight_gain  cold_hands_and_feets  mood_swings  dizziness  puffy_face_and_eyes  enlarged_thyroid  brittle_nails  swollen_extremeties  depression  irritability  abnormal_menstruation,Hypothyroidism,Endocrinologist,26,"Hypothyroidism, also called underactive thyroid or low thyroid, is a disorder of the endocrine system in which the thyroid gland does not produce enough thyroid hormone."
 fatigue  weight_gain  cold_hands_and_feets  mood_swings  lethargy  puffy_face_and_eyes  enlarged_thyroid  brittle_nails  swollen_extremeties  depression  irritability  abnormal_menstruation,Hypothyroidism,Endocrinologist,26,"Hypothyroidism, also called underactive thyroid or low thyroid, is a disorder of the endocrine system in which the thyroid gland does not produce enough thyroid hormone."
 fatigue  weight_gain  cold_hands_and_feets  mood_swings  lethargy  dizziness  enlarged_thyroid  brittle_nails  swollen_extremeties  depression  irritability  abnormal_menstruation,Hypothyroidism,Endocrinologist,26,"Hypothyroidism, also called underactive thyroid or low thyroid, is a disorder of the endocrine system in which the thyroid gland does not produce enough thyroid hormone."
 fatigue  mood_swings  weight_loss  restlessness  sweating  diarrhoea  fast_heart_rate  excessive_hunger  muscle_weakness  irritability  abnormal_menstruation,Hyperthyroidism,Endocrinologist,24,"Hyperthyroidism (overactive thyroid) occurs when your thyroid gland produces too much of the hormone thyroxine. Hyperthyroidism can accelerate your body's metabolism, causing unintentional weight loss and a rapid or irregular heartbeat."
 fatigue  mood_swings  weight_loss  restlessness  sweating  diarrhoea  fast_heart_rate  excessive_hunger  muscle_weakness  irritability  abnormal_menstruation,Hyperthyroidism,Endocrinologist,24,"Hyperthyroidism (overactive thyroid) occurs when your thyroid gland produces too much of the hormone thyroxine. Hyperthyroidism can accelerate your body's metabolism, causing unintentional weight loss and a rapid or irregular heartbeat."
 mood_swings  weight_loss  restlessness  sweating  diarrhoea  fast_heart_rate  excessive_hunger  muscle_weakness  irritability  abnormal_menstruation,Hyperthyroidism,Endocrinologist,24,"Hyperthyroidism (overactive thyroid) occurs when your thyroid gland produces too much of the hormone thyroxine. Hyperthyroidism can accelerate your body's metabolism, causing unintentional weight loss and a rapid or irregular heartbeat."
 fatigue  weight_loss  restlessness  sweating  diarrhoea  fast_heart_rate  excessive_hunger  muscle_weakness  irritability  abnormal_menstruation,Hyperthyroidism,Endocrinologist,24,"Hyperthyroidism (overactive thyroid) occurs when your thyroid gland produces too much of the hormone thyroxine. Hyperthyroidism can accelerate your body's metabolism, causing unintentional weight loss and a rapid or irregular heartbeat."
 fatigue  mood_swings  restlessness  sweating  diarrhoea  fast_heart_rate  excessive_hunger  muscle_weakness  irritability  abnormal_menstruation,Hyperthyroidism,Endocrinologist,24,"Hyperthyroidism (overactive thyroid) occurs when your thyroid gland produces too much of the hormone thyroxine. Hyperthyroidism can accelerate your body's metabolism, causing unintentional weight loss and a rapid or irregular heartbeat."
 fatigue  mood_swings  weight_loss  sweating  diarrhoea  fast_heart_rate  excessive_hunger  muscle_weakness  irritability  abnormal_menstruation,Hyperthyroidism,Endocrinologist,24,"Hyperthyroidism (overactive thyroid) occurs when your thyroid gland produces too much of the hormone thyroxine. Hyperthyroidism can accelerate your body's metabolism, causing unintentional weight loss and a rapid or irregular heartbeat."
 fatigue  mood_swings  weight_loss  restlessness  diarrhoea  fast_heart_rate  excessive_hunger  muscle_weakness  irritability  abnormal_menstruation,Hyperthyroidism,Endocrinologist,24,"Hyperthyroidism (overactive thyroid) occurs when your thyroid gland produces too much of the hormone thyroxine. Hyperthyroidism can accelerate your body's metabolism, causing unintentional weight loss and a rapid or irregular heartbeat."
 fatigue  mood_swings  weight_loss  restlessness  sweating  fast_heart_rate  excessive_hunger  muscle_weakness  irritability  abnormal_menstruation,Hyperthyroidism,Endocrinologist,24,"Hyperthyroidism (overactive thyroid) occurs when your thyroid gland produces too much of the hormone thyroxine. Hyperthyroidism can accelerate your body's metabolism, causing unintentional weight loss and a rapid or irregular heartbeat."
 fatigue  mood_swings  weight_loss  restlessness  sweating  diarrhoea  excessive_hunger  muscle_weakness  irritability  abnormal_menstruation,Hyperthyroidism,Endocrinologist,24,"Hyperthyroidism (overactive thyroid) occurs when your thyroid gland produces too much of the hormone thyroxine. Hyperthyroidism can accelerate your body's metabolism, causing unintentional weight loss and a rapid or irregular heartbeat."
 fatigue  mood_swings  weight_loss  restlessness  sweating  diarrhoea  fast_heart_rate  muscle_weakness  irritability  abnormal_menstruation,Hyperthyroidism,Endocrinologist,24,"Hyperthyroidism (overactive thyroid) occurs when your thyroid gland produces too much of the hormone thyroxine. Hyperthyroidism can accelerate your body's metabolism, causing unintentional weight loss and a rapid or irregular heartbeat."
 vomiting  fatigue  anxiety  sweating  headache  nausea  blurred_and_distorted_vision  excessive_hunger  slurred_speech  irritability  palpitations,Hypoglycemia,Endocrinologist,25, Hypoglycemia is a condition in which your blood sugar (glucose) level is lower than normal. Glucose is your body's main energy source. Hypoglycemia is often related to diabetes treatment. But other drugs and a variety of conditions ??many rare ??can cause low blood sugar in people who don't have diabetes.
 vomiting  fatigue  anxiety  sweating  headache  nausea  blurred_and_distorted_vision  excessive_hunger  drying_and_tingling_lips  slurred_speech  irritability  palpitations,Hypoglycemia,Endocrinologist,25, Hypoglycemia is a condition in which your blood sugar (glucose) level is lower than normal. Glucose is your body's main energy source. Hypoglycemia is often related to diabetes treatment. But other drugs and a variety of conditions ??many rare ??can cause low blood sugar in people who don't have diabetes.
 vomiting  fatigue  anxiety  sweating  headache  nausea  blurred_and_distorted_vision  excessive_hunger  drying_and_tingling_lips  slurred_speech  irritability  palpitations,Hypoglycemia,Endocrinologist,25, Hypoglycemia is a condition in which your blood sugar (glucose) level is lower than normal. Glucose is your body's main energy source. Hypoglycemia is often related to diabetes treatment. But other drugs and a variety of conditions ??many rare ??can cause low blood sugar in people who don't have diabetes.
 fatigue  anxiety  sweating  headache  nausea  blurred_and_distorted_vision  excessive_hunger  drying_and_tingling_lips  slurred_speech  irritability  palpitations,Hypoglycemia,Endocrinologist,25, Hypoglycemia is a condition in which your blood sugar (glucose) level is lower than normal. Glucose is your body's main energy source. Hypoglycemia is often related to diabetes treatment. But other drugs and a variety of conditions ??many rare ??can cause low blood sugar in people who don't have diabetes.
 vomiting  anxiety  sweating  headache  nausea  blurred_and_distorted_vision  excessive_hunger  drying_and_tingling_lips  slurred_speech  irritability  palpitations,Hypoglycemia,Endocrinologist,25, Hypoglycemia is a condition in which your blood sugar (glucose) level is lower than normal. Glucose is your body's main energy source. Hypoglycemia is often related to diabetes treatment. But other drugs and a variety of conditions ??many rare ??can cause low blood sugar in people who don't have diabetes.
 vomiting  fatigue  sweating  headache  nausea  blurred_and_distorted_vision  excessive_hunger  drying_and_tingling_lips  slurred_speech  irritability  palpitations,Hypoglycemia,Endocrinologist,25, Hypoglycemia is a condition in which your blood sugar (glucose) level is lower than normal. Glucose is your body's main energy source. Hypoglycemia is often related to diabetes treatment. But other drugs and a variety of conditions ??many rare ??can cause low blood sugar in people who don't have diabetes.
 vomiting  fatigue  anxiety  headache  nausea  blurred_and_distorted_vision  excessive_hunger  drying_and_tingling_lips  slurred_speech  irritability  palpitations,Hypoglycemia,Endocrinologist,25, Hypoglycemia is a condition in which your blood sugar (glucose) level is lower than normal. Glucose is your body's main energy source. Hypoglycemia is often related to diabetes treatment. But other drugs and a variety of conditions ??many rare ??can cause low blood sugar in people who don't have diabetes.
 vomiting  fatigue  anxiety  sweating  nausea  blurred_and_distorted_vision  excessive_hunger  drying_and_tingling_lips  slurred_speech  irritability  palpitations,Hypoglycemia,Endocrinologist,25, Hypoglycemia is a condition in which your blood sugar (glucose) level is lower than normal. Glucose is your body's main energy source. Hypoglycemia is often related to diabetes treatment. But other drugs and a variety of conditions ??many rare ??can cause low blood sugar in people who don't have diabetes.
 vomiting  fatigue  anxiety  sweating  headache  blurred_and_distorted_vision  excessive_hunger  drying_and_tingling_lips  slurred_speech  irritability  palpitations,Hypoglycemia,Endocrinologist,25, Hypoglycemia is a condition in which your blood sugar (glucose) level is lower than normal. Glucose is your body's main energy source. Hypoglycemia is often related to diabetes treatment. But other drugs and a variety of conditions ??many rare ??can cause low blood sugar in people who don't have diabetes.
 vomiting  fatigue  anxiety  sweating  headache  nausea  excessive_hunger  drying_and_tingling_lips  slurred_speech  irritability  palpitations,Hypoglycemia,Endocrinologist,25, Hypoglycemia is a condition in which your blood sugar (glucose) level is lower than normal. Glucose is your body's main energy source. Hypoglycemia is often related to diabetes treatment. But other drugs and a variety of conditions ??many rare ??can cause low blood sugar in people who don't have diabetes.
 joint_pain  neck_pain  knee_pain  hip_joint_pain  swelling_joints  painful_walking,Osteoarthristis,Rheumatologists,31,"Osteoarthritis is the most common form of arthritis, affecting millions of people worldwide. It occurs when the protective cartilage that cushions the ends of your bones wears down over time."
 joint_pain  neck_pain  knee_pain  hip_joint_pain  swelling_joints  painful_walking,Osteoarthristis,Rheumatologists,31,"Osteoarthritis is the most common form of arthritis, affecting millions of people worldwide. It occurs when the protective cartilage that cushions the ends of your bones wears down over time."
 neck_pain  knee_pain  hip_joint_pain  swelling_joints  painful_walking,Osteoarthristis,Rheumatologists,31,"Osteoarthritis is the most common form of arthritis, affecting millions of people worldwide. It occurs when the protective cartilage that cushions the ends of your bones wears down over time."
 joint_pain  knee_pain  hip_joint_pain  swelling_joints  painful_walking,Osteoarthristis,Rheumatologists,31,"Osteoarthritis is the most common form of arthritis, affecting millions of people worldwide. It occurs when the protective cartilage that cushions the ends of your bones wears down over time."
 joint_pain  neck_pain  hip_joint_pain  swelling_joints  painful_walking,Osteoarthristis,Rheumatologists,31,"Osteoarthritis is the most common form of arthritis, affecting millions of people worldwide. It occurs when the protective cartilage that cushions the ends of your bones wears down over time."
 joint_pain  neck_pain  knee_pain  swelling_joints  painful_walking,Osteoarthristis,Rheumatologists,31,"Osteoarthritis is the most common form of arthritis, affecting millions of people worldwide. It occurs when the protective cartilage that cushions the ends of your bones wears down over time."
 joint_pain  neck_pain  knee_pain  hip_joint_pain  painful_walking,Osteoarthristis,Rheumatologists,31,"Osteoarthritis is the most common form of arthritis, affecting millions of people worldwide. It occurs when the protective cartilage that cushions the ends of your bones wears down over time."
 joint_pain  neck_pain  knee_pain  hip_joint_pain  swelling_joints,Osteoarthristis,Rheumatologists,31,"Osteoarthritis is the most common form of arthritis, affecting millions of people worldwide. It occurs when the protective cartilage that cushions the ends of your bones wears down over time."
 joint_pain  neck_pain  knee_pain  hip_joint_pain  swelling_joints  painful_walking,Osteoarthristis,Rheumatologists,31,"Osteoarthritis is the most common form of arthritis, affecting millions of people worldwide. It occurs when the protective cartilage that cushions the ends of your bones wears down over time."
 joint_pain  neck_pain  knee_pain  hip_joint_pain  swelling_joints  painful_walking,Osteoarthristis,Rheumatologists,31,"Osteoarthritis is the most common form of arthritis, affecting millions of people worldwide. It occurs when the protective cartilage that cushions the ends of your bones wears down over time."
 muscle_weakness  stiff_neck  swelling_joints  movement_stiffness  painful_walking,Arthritis,Rheumatologists,5,"Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis."
 muscle_weakness  stiff_neck  swelling_joints  movement_stiffness  painful_walking,Arthritis,Rheumatologists,5,"Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis."
 stiff_neck  swelling_joints  movement_stiffness  painful_walking,Arthritis,Rheumatologists,5,"Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis."
 muscle_weakness  swelling_joints  movement_stiffness  painful_walking,Arthritis,Rheumatologists,5,"Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis."
 muscle_weakness  stiff_neck  movement_stiffness  painful_walking,Arthritis,Rheumatologists,5,"Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis."
 muscle_weakness  stiff_neck  swelling_joints  painful_walking,Arthritis,Rheumatologists,5,"Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis."
 muscle_weakness  stiff_neck  swelling_joints  movement_stiffness  painful_walking,Arthritis,Rheumatologists,5,"Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis."
 muscle_weakness  stiff_neck  swelling_joints  movement_stiffness,Arthritis,Rheumatologists,5,"Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis."
 muscle_weakness  stiff_neck  swelling_joints  movement_stiffness  painful_walking,Arthritis,Rheumatologists,5,"Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis."
 muscle_weakness  stiff_neck  swelling_joints  movement_stiffness  painful_walking,Arthritis,Rheumatologists,5,"Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis."
 vomiting  headache  nausea  spinning_movements  loss_of_balance  unsteadiness,(vertigo) Paroymsal  Positional Vertigo,Otolaryngologist,0,Benign paroxysmal positional vertigo (BPPV) is one of the most common causes of vertigo ??the sudden sensation that you're spinning or that the inside of your head is spinning. Benign paroxysmal positional vertigo causes brief episodes of mild to intense dizziness.
 vomiting  headache  nausea  spinning_movements  loss_of_balance  unsteadiness,(vertigo) Paroymsal  Positional Vertigo,Otolaryngologist,0,Benign paroxysmal positional vertigo (BPPV) is one of the most common causes of vertigo ??the sudden sensation that you're spinning or that the inside of your head is spinning. Benign paroxysmal positional vertigo causes brief episodes of mild to intense dizziness.
 headache  nausea  spinning_movements  loss_of_balance  unsteadiness,(vertigo) Paroymsal  Positional Vertigo,Otolaryngologist,0,Benign paroxysmal positional vertigo (BPPV) is one of the most common causes of vertigo ??the sudden sensation that you're spinning or that the inside of your head is spinning. Benign paroxysmal positional vertigo causes brief episodes of mild to intense dizziness.
 vomiting  nausea  spinning_movements  loss_of_balance  unsteadiness,(vertigo) Paroymsal  Positional Vertigo,Otolaryngologist,0,Benign paroxysmal positional vertigo (BPPV) is one of the most common causes of vertigo ??the sudden sensation that you're spinning or that the inside of your head is spinning. Benign paroxysmal positional vertigo causes brief episodes of mild to intense dizziness.
 vomiting  headache  spinning_movements  loss_of_balance  unsteadiness,(vertigo) Paroymsal  Positional Vertigo,Otolaryngologist,0,Benign paroxysmal positional vertigo (BPPV) is one of the most common causes of vertigo ??the sudden sensation that you're spinning or that the inside of your head is spinning. Benign paroxysmal positional vertigo causes brief episodes of mild to intense dizziness.
 vomiting  headache  nausea  loss_of_balance  unsteadiness,(vertigo) Paroymsal  Positional Vertigo,Otolaryngologist,0,Benign paroxysmal positional vertigo (BPPV) is one of the most common causes of vertigo ??the sudden sensation that you're spinning or that the inside of your head is spinning. Benign paroxysmal positional vertigo causes brief episodes of mild to intense dizziness.
 vomiting  headache  nausea  spinning_movements  unsteadiness,(vertigo) Paroymsal  Positional Vertigo,Otolaryngologist,0,Benign paroxysmal positional vertigo (BPPV) is one of the most common causes of vertigo ??the sudden sensation that you're spinning or that the inside of your head is spinning. Benign paroxysmal positional vertigo causes brief episodes of mild to intense dizziness.
 vomiting  headache  nausea  spinning_movements  loss_of_balance,(vertigo) Paroymsal  Positional Vertigo,Otolaryngologist,0,Benign paroxysmal positional vertigo (BPPV) is one of the most common causes of vertigo ??the sudden sensation that you're spinning or that the inside of your head is spinning. Benign paroxysmal positional vertigo causes brief episodes of mild to intense dizziness.
 vomiting  headache  nausea  spinning_movements  loss_of_balance  unsteadiness,(vertigo) Paroymsal  Positional Vertigo,Otolaryngologist,0,Benign paroxysmal positional vertigo (BPPV) is one of the most common causes of vertigo ??the sudden sensation that you're spinning or that the inside of your head is spinning. Benign paroxysmal positional vertigo causes brief episodes of mild to intense dizziness.
 vomiting  headache  nausea  loss_of_balance  unsteadiness,(vertigo) Paroymsal  Positional Vertigo,Otolaryngologist,0,Benign paroxysmal positional vertigo (BPPV) is one of the most common causes of vertigo ??the sudden sensation that you're spinning or that the inside of your head is spinning. Benign paroxysmal positional vertigo causes brief episodes of mild to intense dizziness.
 skin_rash  pus_filled_pimples  blackheads  scurring,Acne,Dermatologist,2,"Acne vulgaris is the formation of comedones, papules, pustules, nodules, and/or cysts as a result of obstruction and inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). Acne develops on the face and upper trunk. It most often affects adolescents."
 skin_rash  pus_filled_pimples  blackheads  scurring,Acne,Dermatologist,2,"Acne vulgaris is the formation of comedones, papules, pustules, nodules, and/or cysts as a result of obstruction and inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). Acne develops on the face and upper trunk. It most often affects adolescents."
 pus_filled_pimples  blackheads  scurring,Acne,Dermatologist,2,"Acne vulgaris is the formation of comedones, papules, pustules, nodules, and/or cysts as a result of obstruction and inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). Acne develops on the face and upper trunk. It most often affects adolescents."
 skin_rash  blackheads  scurring,Acne,Dermatologist,2,"Acne vulgaris is the formation of comedones, papules, pustules, nodules, and/or cysts as a result of obstruction and inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). Acne develops on the face and upper trunk. It most often affects adolescents."
 skin_rash  pus_filled_pimples  scurring,Acne,Dermatologist,2,"Acne vulgaris is the formation of comedones, papules, pustules, nodules, and/or cysts as a result of obstruction and inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). Acne develops on the face and upper trunk. It most often affects adolescents."
 skin_rash  pus_filled_pimples  blackheads,Acne,Dermatologist,2,"Acne vulgaris is the formation of comedones, papules, pustules, nodules, and/or cysts as a result of obstruction and inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). Acne develops on the face and upper trunk. It most often affects adolescents."
 skin_rash  pus_filled_pimples  blackheads  scurring,Acne,Dermatologist,2,"Acne vulgaris is the formation of comedones, papules, pustules, nodules, and/or cysts as a result of obstruction and inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). Acne develops on the face and upper trunk. It most often affects adolescents."
 skin_rash  pus_filled_pimples  blackheads,Acne,Dermatologist,2,"Acne vulgaris is the formation of comedones, papules, pustules, nodules, and/or cysts as a result of obstruction and inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). Acne develops on the face and upper trunk. It most often affects adolescents."
 skin_rash  pus_filled_pimples  scurring,Acne,Dermatologist,2,"Acne vulgaris is the formation of comedones, papules, pustules, nodules, and/or cysts as a result of obstruction and inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). Acne develops on the face and upper trunk. It most often affects adolescents."
 skin_rash  blackheads  scurring,Acne,Dermatologist,2,"Acne vulgaris is the formation of comedones, papules, pustules, nodules, and/or cysts as a result of obstruction and inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). Acne develops on the face and upper trunk. It most often affects adolescents."
 burning_micturition  bladder_discomfort  foul_smell_of urine  continuous_feel_of_urine,Urinary tract infection,Gynecologist,38,"Urinary tract infection: An infection of the kidney, ureter, bladder, or urethra. Abbreviated UTI. Not everyone with a UTI has symptoms, but common symptoms include a frequent urge to urinate and pain or burning when urinating."
 burning_micturition  bladder_discomfort  foul_smell_of urine  continuous_feel_of_urine,Urinary tract infection,Gynecologist,38,"Urinary tract infection: An infection of the kidney, ureter, bladder, or urethra. Abbreviated UTI. Not everyone with a UTI has symptoms, but common symptoms include a frequent urge to urinate and pain or burning when urinating."
 bladder_discomfort  foul_smell_of urine  continuous_feel_of_urine,Urinary tract infection,Gynecologist,38,"Urinary tract infection: An infection of the kidney, ureter, bladder, or urethra. Abbreviated UTI. Not everyone with a UTI has symptoms, but common symptoms include a frequent urge to urinate and pain or burning when urinating."
 burning_micturition  foul_smell_of urine  continuous_feel_of_urine,Urinary tract infection,Gynecologist,38,"Urinary tract infection: An infection of the kidney, ureter, bladder, or urethra. Abbreviated UTI. Not everyone with a UTI has symptoms, but common symptoms include a frequent urge to urinate and pain or burning when urinating."
 burning_micturition  bladder_discomfort  continuous_feel_of_urine,Urinary tract infection,Gynecologist,38,"Urinary tract infection: An infection of the kidney, ureter, bladder, or urethra. Abbreviated UTI. Not everyone with a UTI has symptoms, but common symptoms include a frequent urge to urinate and pain or burning when urinating."
