Disease,Symptom 1,Symptom 2,Symptom 3,Symptom 4,Symptom 5,Symptom 6,Symptom 7,Symptom 8,Symptom 9,Symptom 10,Symptom 11,Symptom 12,Symptom 13,Symptom 14,Symptom 15,Symptom 16,Symptom 17,Symptom 18,Symptom 19,Symptom 20,Symptom 21,Symptom 22,Symptom 23,Symptom 24,Symptom 25,Symptom 26,Symptom 27,Symptom 28
Tuberculosis, chills, vomiting, fatigue, cough, high fever, breathlessness, sweating, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum,,,,,,,,,,,,,
Tuberculosis, chills, vomiting, fatigue, weight loss, high fever, breathlessness, sweating, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum,,,,,,,,,,,,,
Tuberculosis, chills, vomiting, fatigue, weight loss, cough, breathlessness, sweating, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum,,,,,,,,,,,,,
Tuberculosis, chills, vomiting, fatigue, weight loss, cough, high fever, sweating, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum,,,,,,,,,,,,,
Tuberculosis, chills, vomiting, fatigue, weight loss, cough, high fever, breathlessness, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum,,,,,,,,,,,,,
Common Cold, continuous sneezing, chills, fatigue, cough, high fever, headache, swelled lymph nodes, malaise, phlegm, throat irritation, redness of eyes, sinus pressure, runny nose, congestion, chest pain, loss of smell, muscle pain,,,,,,,,,,,
Common Cold, chills, fatigue, cough, high fever, headache, swelled lymph nodes, malaise, phlegm, throat irritation, redness of eyes, sinus pressure, runny nose, congestion, chest pain, loss of smell, muscle pain,,,,,,,,,,,,
Common Cold, continuous sneezing, fatigue, cough, high fever, headache, swelled lymph nodes, malaise, phlegm, throat irritation, redness of eyes, sinus pressure, runny nose, congestion, chest pain, loss of smell, muscle pain,,,,,,,,,,,,
Common Cold, continuous sneezing, chills, cough, high fever, headache, swelled lymph nodes, malaise, phlegm, throat irritation, redness of eyes, sinus pressure, runny nose, congestion, chest pain, loss of smell, muscle pain,,,,,,,,,,,,
Common Cold, continuous sneezing, chills, fatigue, high fever, headache, swelled lymph nodes, malaise, phlegm, throat irritation, redness of eyes, sinus pressure, runny nose, congestion, chest pain, loss of smell, muscle pain,,,,,,,,,,,,
Common Cold, continuous sneezing, chills, fatigue, cough, headache, swelled lymph nodes, malaise, phlegm, throat irritation, redness of eyes, sinus pressure, runny nose, congestion, chest pain, loss of smell, muscle pain,,,,,,,,,,,,
Common Cold, continuous sneezing, chills, fatigue, cough, high fever, swelled lymph nodes, malaise, phlegm, throat irritation, redness of eyes, sinus pressure, runny nose, congestion, chest pain, loss of smell, muscle pain,,,,,,,,,,,,
Common Cold, continuous sneezing, chills, fatigue, cough, high fever, headache, malaise, phlegm, throat irritation, redness of eyes, sinus pressure, runny nose, congestion, chest pain, loss of smell, muscle pain,,,,,,,,,,,,
Common Cold, continuous sneezing, chills, fatigue, cough, high fever, headache, swelled lymph nodes, phlegm, throat irritation, redness of eyes, sinus pressure, runny nose, congestion, chest pain, loss of smell, muscle pain,,,,,,,,,,,,
Pneumonia, chills, fatigue, cough, high fever, breathlessness, sweating, malaise, chest pain, fast heart rate, rusty sputum,,,,,,,,,,,,,,,,,,
Pneumonia, chills, fatigue, cough, high fever, breathlessness, sweating, malaise, phlegm, chest pain, fast heart rate, rusty sputum,,,,,,,,,,,,,,,,,
Pneumonia, fatigue, cough, high fever, breathlessness, sweating, malaise, phlegm, chest pain, fast heart rate, rusty sputum,,,,,,,,,,,,,,,,,,
Pneumonia, chills, cough, high fever, breathlessness, sweating, malaise, phlegm, chest pain, fast heart rate, rusty sputum,,,,,,,,,,,,,,,,,,
Pneumonia, chills, fatigue, high fever, breathlessness, sweating, malaise, phlegm, chest pain, fast heart rate, rusty sputum,,,,,,,,,,,,,,,,,,
Pneumonia, chills, fatigue, cough, breathlessness, sweating, malaise, phlegm, chest pain, fast heart rate, rusty sputum,,,,,,,,,,,,,,,,,,
Pneumonia, chills, fatigue, cough, high fever, sweating, malaise, phlegm, chest pain, fast heart rate, rusty sputum,,,,,,,,,,,,,,,,,,
Pneumonia, chills, fatigue, cough, high fever, breathlessness, malaise, phlegm, chest pain, fast heart rate, rusty sputum,,,,,,,,,,,,,,,,,,
Pneumonia, chills, fatigue, cough, high fever, breathlessness, sweating, phlegm, chest pain, fast heart rate, rusty sputum,,,,,,,,,,,,,,,,,,
Dimorphic hemmorhoids(piles), constipation, pain during bowel movements, pain in anal region, bloody stool, irritation in anus,,,,,,,,,,,,,,,,,,,,,,,
Dimorphic hemmorhoids(piles), pain during bowel movements, pain in anal region, bloody stool, irritation in anus,,,,,,,,,,,,,,,,,,,,,,,,
Dimorphic hemmorhoids(piles), constipation, pain in anal region, bloody stool, irritation in anus,,,,,,,,,,,,,,,,,,,,,,,,
Dimorphic hemmorhoids(piles), constipation, pain during bowel movements, bloody stool, irritation in anus,,,,,,,,,,,,,,,,,,,,,,,,
Dimorphic hemmorhoids(piles), constipation, pain during bowel movements, pain in anal region, irritation in anus,,,,,,,,,,,,,,,,,,,,,,,,
Dimorphic hemmorhoids(piles), constipation, pain during bowel movements, pain in anal region, bloody stool,,,,,,,,,,,,,,,,,,,,,,,,
Heart attack, vomiting, breathlessness, sweating, chest pain,,,,,,,,,,,,,,,,,,,,,,,,
Heart attack, breathlessness, sweating, chest pain,,,,,,,,,,,,,,,,,,,,,,,,,
Heart attack, vomiting, sweating, chest pain,,,,,,,,,,,,,,,,,,,,,,,,,
Heart attack, vomiting, breathlessness, chest pain,,,,,,,,,,,,,,,,,,,,,,,,,
Heart attack, vomiting, breathlessness, sweating,,,,,,,,,,,,,,,,,,,,,,,,,
Varicose veins, fatigue, cramps, bruising, obesity, swollen legs, swollen blood vessels, prominent veins on calf,,,,,,,,,,,,,,,,,,,,,
Varicose veins, cramps, bruising, obesity, swollen legs, swollen blood vessels, prominent veins on calf,,,,,,,,,,,,,,,,,,,,,,
Varicose veins, fatigue, bruising, obesity, swollen legs, swollen blood vessels, prominent veins on calf,,,,,,,,,,,,,,,,,,,,,,
Varicose veins, fatigue, cramps, obesity, swollen legs, swollen blood vessels, prominent veins on calf,,,,,,,,,,,,,,,,,,,,,,
Varicose veins, fatigue, cramps, bruising, swollen legs, swollen blood vessels, prominent veins on calf,,,,,,,,,,,,,,,,,,,,,,
Varicose veins, fatigue, cramps, bruising, obesity, swollen blood vessels, prominent veins on calf,,,,,,,,,,,,,,,,,,,,,,
Varicose veins, fatigue, cramps, bruising, obesity, swollen legs, prominent veins on calf,,,,,,,,,,,,,,,,,,,,,,
Varicose veins, fatigue, cramps, bruising, obesity, swollen legs, swollen blood vessels,,,,,,,,,,,,,,,,,,,,,,
Hypothyroidism, fatigue, weight gain, cold hands and feets, mood swings, lethargy, dizziness, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation,,,,,,,,,,,,,,,
Hypothyroidism, weight gain, cold hands and feets, mood swings, lethargy, dizziness, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation,,,,,,,,,,,,,,,,
Hypothyroidism, fatigue, cold hands and feets, mood swings, lethargy, dizziness, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation,,,,,,,,,,,,,,,,
Hypothyroidism, fatigue, weight gain, mood swings, lethargy, dizziness, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation,,,,,,,,,,,,,,,,
Hypothyroidism, fatigue, weight gain, cold hands and feets, lethargy, dizziness, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation,,,,,,,,,,,,,,,,
Hypothyroidism, fatigue, weight gain, cold hands and feets, mood swings, dizziness, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation,,,,,,,,,,,,,,,,
Hypothyroidism, fatigue, weight gain, cold hands and feets, mood swings, lethargy, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation,,,,,,,,,,,,,,,,
Hypothyroidism, fatigue, weight gain, cold hands and feets, mood swings, lethargy, dizziness, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation,,,,,,,,,,,,,,,,
Hyperthyroidism, fatigue, mood swings, weight loss, restlessness, sweating, diarrhoea, fast heart rate, excessive hunger, muscle weakness, irritability, abnormal menstruation,,,,,,,,,,,,,,,,,
Hyperthyroidism, mood swings, weight loss, restlessness, sweating, diarrhoea, fast heart rate, excessive hunger, muscle weakness, irritability, abnormal menstruation,,,,,,,,,,,,,,,,,,
Hyperthyroidism, fatigue, weight loss, restlessness, sweating, diarrhoea, fast heart rate, excessive hunger, muscle weakness, irritability, abnormal menstruation,,,,,,,,,,,,,,,,,,
Hyperthyroidism, fatigue, mood swings, restlessness, sweating, diarrhoea, fast heart rate, excessive hunger, muscle weakness, irritability, abnormal menstruation,,,,,,,,,,,,,,,,,,
Hyperthyroidism, fatigue, mood swings, weight loss, sweating, diarrhoea, fast heart rate, excessive hunger, muscle weakness, irritability, abnormal menstruation,,,,,,,,,,,,,,,,,,
Hyperthyroidism, fatigue, mood swings, weight loss, restlessness, diarrhoea, fast heart rate, excessive hunger, muscle weakness, irritability, abnormal menstruation,,,,,,,,,,,,,,,,,,
Hyperthyroidism, fatigue, mood swings, weight loss, restlessness, sweating, fast heart rate, excessive hunger, muscle weakness, irritability, abnormal menstruation,,,,,,,,,,,,,,,,,,
Hyperthyroidism, fatigue, mood swings, weight loss, restlessness, sweating, diarrhoea, excessive hunger, muscle weakness, irritability, abnormal menstruation,,,,,,,,,,,,,,,,,,
Hyperthyroidism, fatigue, mood swings, weight loss, restlessness, sweating, diarrhoea, fast heart rate, muscle weakness, irritability, abnormal menstruation,,,,,,,,,,,,,,,,,,
Hypoglycemia, vomiting, fatigue, anxiety, sweating, headache, nausea, blurred and distorted vision, excessive hunger, slurred speech, irritability, palpitations,,,,,,,,,,,,,,,,,
Hypoglycemia, vomiting, fatigue, anxiety, sweating, headache, nausea, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations,,,,,,,,,,,,,,,,
Hypoglycemia, fatigue, anxiety, sweating, headache, nausea, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations,,,,,,,,,,,,,,,,,
Hypoglycemia, vomiting, anxiety, sweating, headache, nausea, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations,,,,,,,,,,,,,,,,,
Hypoglycemia, vomiting, fatigue, sweating, headache, nausea, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations,,,,,,,,,,,,,,,,,
Hypoglycemia, vomiting, fatigue, anxiety, headache, nausea, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations,,,,,,,,,,,,,,,,,
Hypoglycemia, vomiting, fatigue, anxiety, sweating, nausea, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations,,,,,,,,,,,,,,,,,
Hypoglycemia, vomiting, fatigue, anxiety, sweating, headache, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations,,,,,,,,,,,,,,,,,
Hypoglycemia, vomiting, fatigue, anxiety, sweating, headache, nausea, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations,,,,,,,,,,,,,,,,,
Osteoarthristis, joint pain, neck pain, knee pain, hip joint pain, swelling joints, painful walking,,,,,,,,,,,,,,,,,,,,,,
Osteoarthristis, neck pain, knee pain, hip joint pain, swelling joints, painful walking,,,,,,,,,,,,,,,,,,,,,,,
Osteoarthristis, joint pain, knee pain, hip joint pain, swelling joints, painful walking,,,,,,,,,,,,,,,,,,,,,,,
Osteoarthristis, joint pain, neck pain, hip joint pain, swelling joints, painful walking,,,,,,,,,,,,,,,,,,,,,,,
Osteoarthristis, joint pain, neck pain, knee pain, swelling joints, painful walking,,,,,,,,,,,,,,,,,,,,,,,
Osteoarthristis, joint pain, neck pain, knee pain, hip joint pain, painful walking,,,,,,,,,,,,,,,,,,,,,,,
Osteoarthristis, joint pain, neck pain, knee pain, hip joint pain, swelling joints,,,,,,,,,,,,,,,,,,,,,,,
Arthritis, muscle weakness, stiff neck, swelling joints, movement stiffness, painful walking,,,,,,,,,,,,,,,,,,,,,,,
Arthritis, stiff neck, swelling joints, movement stiffness, painful walking,,,,,,,,,,,,,,,,,,,,,,,,
Arthritis, muscle weakness, swelling joints, movement stiffness, painful walking,,,,,,,,,,,,,,,,,,,,,,,,
Arthritis, muscle weakness, stiff neck, movement stiffness, painful walking,,,,,,,,,,,,,,,,,,,,,,,,
Arthritis, muscle weakness, stiff neck, swelling joints, painful walking,,,,,,,,,,,,,,,,,,,,,,,,
Arthritis, muscle weakness, stiff neck, swelling joints, movement stiffness,,,,,,,,,,,,,,,,,,,,,,,,
(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning movements, loss of balance, unsteadiness,,,,,,,,,,,,,,,,,,,,,,
(vertigo) Paroymsal  Positional Vertigo, headache, nausea, spinning movements, loss of balance, unsteadiness,,,,,,,,,,,,,,,,,,,,,,,
(vertigo) Paroymsal  Positional Vertigo, vomiting, nausea, spinning movements, loss of balance, unsteadiness,,,,,,,,,,,,,,,,,,,,,,,
(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, spinning movements, loss of balance, unsteadiness,,,,,,,,,,,,,,,,,,,,,,,
(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, loss of balance, unsteadiness,,,,,,,,,,,,,,,,,,,,,,,
(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning movements, unsteadiness,,,,,,,,,,,,,,,,,,,,,,,
(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning movements, loss of balance,,,,,,,,,,,,,,,,,,,,,,,
Acne, skin rash, pus filled pimples, blackheads, scurring,,,,,,,,,,,,,,,,,,,,,,,,
Acne, pus filled pimples, blackheads, scurring,,,,,,,,,,,,,,,,,,,,,,,,,
Acne, skin rash, blackheads, scurring,,,,,,,,,,,,,,,,,,,,,,,,,
Acne, skin rash, pus filled pimples, scurring,,,,,,,,,,,,,,,,,,,,,,,,,
Acne, skin rash, pus filled pimples, blackheads,,,,,,,,,,,,,,,,,,,,,,,,,
Urinary tract infection, burning micturition, bladder discomfort, foul smell of urine, continuous feel of urine,,,,,,,,,,,,,,,,,,,,,,,,
Urinary tract infection, bladder discomfort, foul smell of urine, continuous feel of urine,,,,,,,,,,,,,,,,,,,,,,,,,
Urinary tract infection, burning micturition, foul smell of urine, continuous feel of urine,,,,,,,,,,,,,,,,,,,,,,,,,
Urinary tract infection, burning micturition, bladder discomfort, continuous feel of urine,,,,,,,,,,,,,,,,,,,,,,,,,
Urinary tract infection, burning micturition, bladder discomfort, foul smell of urine,,,,,,,,,,,,,,,,,,,,,,,,,
Psoriasis, skin rash, joint pain, skin peeling, silver like dusting, small dents in nails, inflammatory nails,,,,,,,,,,,,,,,,,,,,,,
Psoriasis, joint pain, skin peeling, silver like dusting, small dents in nails, inflammatory nails,,,,,,,,,,,,,,,,,,,,,,,
Psoriasis, skin rash, skin peeling, silver like dusting, small dents in nails, inflammatory nails,,,,,,,,,,,,,,,,,,,,,,,
Psoriasis, skin rash, joint pain, silver like dusting, small dents in nails, inflammatory nails,,,,,,,,,,,,,,,,,,,,,,,
Psoriasis, skin rash, joint pain, skin peeling, small dents in nails, inflammatory nails,,,,,,,,,,,,,,,,,,,,,,,
Psoriasis, skin rash, joint pain, skin peeling, silver like dusting, inflammatory nails,,,,,,,,,,,,,,,,,,,,,,,
Psoriasis, skin rash, joint pain, skin peeling, silver like dusting, small dents in nails,,,,,,,,,,,,,,,,,,,,,,,
Impetigo, skin rash, high fever, blister, red sore around nose, yellow crust ooze,,,,,,,,,,,,,,,,,,,,,,,
Impetigo, high fever, blister, red sore around nose, yellow crust ooze,,,,,,,,,,,,,,,,,,,,,,,,
Impetigo, skin rash, blister, red sore around nose, yellow crust ooze,,,,,,,,,,,,,,,,,,,,,,,,
Impetigo, skin rash, high fever, red sore around nose, yellow crust ooze,,,,,,,,,,,,,,,,,,,,,,,,
Impetigo, skin rash, high fever, blister, yellow crust ooze,,,,,,,,,,,,,,,,,,,,,,,,
Impetigo, skin rash, high fever, blister, red sore around nose,,,,,,,,,,,,,,,,,,,,,,,,
hypertensive  disease,pain  chest,shortness  of breath,dizziness,asthenia,fall,syncope,vertigo,sweating  increased,palpitation,nausea,angina  pectoris,pressure  chest,,,,,,,,,,,,,,,,
diabetes,polyuria,polydypsia,shortness  of breath,pain  chest,asthenia,nausea,orthopnea,rale,sweating  increased,unresponsiveness,mental  status changes,vertigo,vomiting,labored breathing,,,,,,,,,,,,,,
depressive disorder,feeling  suicidal,suicidal,hallucinations  auditory,feeling  hopeless,weepiness,sleeplessness,motor  retardation,irritable  mood,blackout,mood  depressed,hallucinations  visual,worry,agitation,tremor,intoxication,verbal  auditory hallucinations,energy  increased,difficulty,nightmare,unable  to concentrate,homelessness,,,,,,,
coronary heart disease,pain  chest,angina  pectoris,shortness  of breath,hypokinesia,sweating  increased,pressure  chest,dyspnea  on exertion,orthopnea,chest  tightness,,,,,,,,,,,,,,,,,,,
pneumonia,cough,fever,decreased  translucency,shortness  of breath,rale,productive  cough,pleuritic  pain,yellow  sputum,breath  sounds decreased,chill,rhonchus,green  sputum,non-productive  cough,wheezing,haemoptysis,distress  respiratory,tachypnea,malaise,night  sweat,,,,,,,,,
failure  heart congestive,shortness  of breath,orthopnea,jugular  venous distention,rale,dyspnea,cough,wheezing,,,,,,,,,,,,,,,,,,,,,
accident  cerebrovascular,dysarthria,asthenia,speech  slurred,facial  paresis,hemiplegia,unresponsiveness,seizure,numbness,,,,,,,,,,,,,,,,,,,,
asthma,wheezing,cough,shortness  of breath,chest  tightness,non-productive  cough,pleuritic  pain,productive  cough,symptom  aggravating factors,distress  respiratory,,,,,,,,,,,,,,,,,,,
myocardial  infarction,pain chest,st segment elevation,sweating increased,shortness of breath,st segment depression,hypokinesia,angina pectoris,pressure chest,t wave inverted,orthopnea,rale,chest tightness,presence of q wave,palpitation,dyspnea,chest discomfort,bradycardia,syncope,,,,,,,,,,
hypercholesterolemia,pain,pain chest,sweating increased,nonsmoker,pressure chest,syncope,numbness,chest discomfort,shortness of breath,st segment depression,worry,t wave inverted,bradycardia,dyspnea,,,,,,,,,,,,,,
infection,fever,erythema,decreased translucency,hepatosplenomegaly,chill,pruritus,diarrhea,abscess bacterial,swelling,pain,apyrexial,cough,,,,,,,,,,,,,,,,
infection  urinary tract,fever,dysuria,hematuria,renal angle tenderness,lethargy,asthenia,hyponatremia,hemodynamically stable,distress respiratory,difficulty passing urine,mental status changes,consciousness clear,,,,,,,,,,,,,,,,
anemia,consciousness clear,chill,guaiac positive,monoclonal,ecchymosis,tumor cell invasion,haemorrhage,pallor,asthenia,fatigue,heme positive,pain back,orthostasis,hyponatremia,dizziness,shortness of breath,pain,rhonchus,arthralgia,swelling,transaminitis,,,,,,,
chronic  obstructive airway disease,shortness of breath,wheezing,cough,dyspnea,distress respiratory,sputum purulent,hypoxemia,hypercapnia,patient non compliance,chest tightness,,,,,,,,,,,,,,,,,,
dementia,fever,fall,unresponsiveness,lethargy,agitation,ecchymosis,syncope,rale,unconscious state,cough,bedridden,pain,facial paresis,abdominal tenderness,rhonchus,unsteady gait,hallucinations auditory,,,,,,,,,,,
insufficiency  renal,shortness of breath,hyperkalemia,orthopnea,rale,urgency of micturition,ascites,guaiac positive,asthenia,apyrexial,mental status changes,dyspnea,difficulty,diarrhea,hypotension,breath sounds decreased,swelling,hypokinesia,,,,,,,,,,,
confusion,seizure,enuresis,lethargy,speech slurred,fall,consciousness clear,mental status changes,asterixis,unconscious state,agitation,muscle twitch,asthenia,sleepy,dizziness,headache,dysarthria,lightheadedness,tremor,hyponatremia,unresponsiveness,,,,,,,,
degenerative  polyarthritis,pain,food  intolerance,numbness  of hand,general  discomfort,drowsiness,asthenia,nonsmoker,non-productive  cough,polydypsia,stiffness,unsteady  gait,,,,,,,,,,,,,,,,,
hypothyroidism,shortness of breath,prostatism,sleepy,hyponatremia,fall,unsteady gait,polyuria,hypotension,difficulty,syncope,nightmare,speech slurred,weight gain,asthenia,tired,agitation,mental status changes,motor retardation,vomiting,numbness,mass of body structure,,,,,,,
anxiety  state,worry,feeling suicidal,suicidal,sleeplessness,feeling hopeless,irritable mood,tremor,blackout,weepiness,has religious belief,nervousness,hallucinations visual,formication,difficulty,pain chest,patient non compliance,agitation,palpitation,hallucinations auditory,mood depressed,hot flush,pain,consciousness clear,nightmare,,,,
primary malignant neoplasm,pain,mass of body structure,lesion,cushingoid habitus,emphysematous change,decreased body weight,ascites,hoarseness,thicken,hematuria,,,,,,,,,,,,,,,,,,
hiv infections,fever,night sweat,spontaneous rupture of membranes,cough,,decreased body weight,chill,diarrhea,pleuritic pain,patient non compliance,tachypnea,productive cough,hypotonic,feeling suicidal,,,,,,,,,,,,,,
cellulitis,erythema,pain,swelling,redness,fever,abscess bacterial,patient non compliance,hypesthesia,hyperacusis,pruritus,pain chest,scratch marks,chill,sore to touch,,,,,,,,,,,,,,
gastroesophageal  reflux disease,pain,pain chest,burning sensation,hyponatremia,satiety early,throbbing sensation quality,chest tightness,sensory discomfort,presence of q wave,nausea,general discomfort,constipation,palpitation,pain abdominal,heartburn,sweating increased,asthenia,,,,,,,,,,,
sepsis (invertebrate),fever,distress respiratory,hypotension,tachypnea,chill,lethargy,bradycardia,breech presentation,cyanosis,spontaneous rupture of membranes,haemorrhage,unresponsiveness,rale,apyrexial,,,,,,,,,,,,,,
deep  vein thrombosis,swelling,pain,ecchymosis,shortness of breath,pain in lower limb,cardiomegaly,rale,erythema,hypotension,clonus,non-productive cough,redness,,,,,,,,,,,,,,,,
dehydration,diarrhea,vomiting,hypotension,nausea,lightheadedness,unwell,mental status changes,anorexia,asthenia,sensory discomfort,syncope,lethargy,dizziness,history  of - blackout,,,,,,,,,,,,,,
neoplasm,mass of body structure,lesion,pain chest,hematuria,tumor cell invasion,pain,anosmia,thicken,metastatic lesion,food intolerance,decreased body weight,night sweat,hemianopsia homonymous,satiety early,pain abdominal,headache,,,,,,,,,,,,
embolism  pulmonary,shortness of breath,hypoxemia,tachypnea,hematocrit decreased,pain chest,dyspnea,pleuritic pain,neck stiffness,yellow sputum,productive cough,cicatrisation,unresponsiveness,distress respiratory,wheezing,apyrexial,non-productive cough,,,,,,,,,,,,
epilepsy,seizure,hypometabolism,aura,muscle twitch,drowsiness,tremor,unresponsiveness,hemiplegia,myoclonus,gurgle,sleepy,lethargy,wheelchair bound,,,,,,,,,,,,,,,
cardiomyopathy,shortness of breath,orthopnea,hypokinesia,jugular venous distention,palpitation,pain chest,syncope,yellow sputum,rale,dyspnea,dyspnea on exertion,left atrial hypertrophy,fatigue,weight gain,patient non compliance,,,,,,,,,,,,,
chronic  kidney failure,vomiting,orthopnea,hyperkalemia,oliguria,jugular venous distention,nausea,shortness of breath,mental status changes,diarrhea,asthenia,chest tightness,malaise,chill,rale,fever,pleuritic pain,apyrexial,guaiac positive,swelling,catatonia,unresponsiveness,yellow sputum,,,,,,
carcinoma,mass of body structure,pain,lesion,tumor cell invasion,thicken,decreased body weight,hoarseness,general discomfort,metastatic lesion,non-productive cough,constipation,unhappy,paresthesia,gravida 0,diarrhea,sore to touch,heartburn,nausea,lung nodule,,,,,,,,,
hepatitis  C,ascites,distended abdomen,feeling suicidal,cough,ache,macerated skin,heavy feeling,hallucinations auditory,chill,asterixis,patient non compliance,,,,,,,,,,,,,,,,,
peripheral  vascular disease,shortness of breath,rest pain,angina pectoris,unresponsiveness,hyperkalemia,sinus rhythm,labored breathing,dyspnea,sore to touch,anorexia,sleepy,,,,,,,,,,,,,,,,,
psychotic  disorder,suicidal,hallucinations auditory,feeling suicidal,hallucinations visual,motor retardation,blackout,verbal auditory hallucinations,feeling hopeless,irritable mood,agitation,tremor,catatonia,weepiness,homelessness,sleeplessness,withdraw,energy increased,intoxication,worry,behavior hyperactive,patient non compliance,mood depressed,terrify,nightmare,consciousness clear,,,
hyperlipidemia,pain chest,angina pectoris,palpitation,presence of q wave,photopsia,sweating increased,chest discomfort,shortness of breath,giddy mood,hypokinesia,hemiplegia,dizziness,,,,,,,,,,,,,,,,
bipolar  disorder,feeling suicidal,energy increased,suicidal,irritable mood,agitation,has religious belief,disturbed family,hallucinations auditory,verbal auditory hallucinations,weepiness,behavior hyperactive,catatonia,feeling hopeless,worry,sleeplessness,hypersomnia,difficulty,hallucinations visual,hyperhidrosis disorder,mydriasis,extrapyramidal sign,loose associations,intoxication,motor retardation,homelessness,blackout,tremor,exhaustion
obesity,pain,catatonia,snore,pain chest,r wave feature,has religious belief,shortness of breath,tired,overweight,systolic murmur,mood depressed,ecchymosis,,,,,,,,,,,,,,,,
ischemia,sleepy,pain chest,angina pectoris,pressure chest,chest discomfort,shortness of breath,dyspnea,sinus rhythm,bradycardia,sweating increased,rale,asymptomatic,anorexia,,,,,,,,,,,,,,,
cirrhosis,ascites,fall,splenomegaly,pruritus,pain abdominal,tumor cell invasion,distended abdomen,lesion,hemodynamically stable,guaiac positive,sore to touch,bleeding of vagina,,,,,,,,,,,,,,,,
exanthema,fever,pruritus,macule,lesion,redness,headache,apyrexial,arthralgia,swelling,erythema,photophobia,chill,scratch marks,pain,painful swallowing,,,,,,,,,,,,,
benign  prostatic hypertrophy,mental status changes,cachexia,blackout,orthostasis,orthopnea,night sweat,distress respiratory,anorexia,dysarthria,,,,,,,,,,,,,,,,,,,
kidney  failure acute,hyperkalemia,hypotension,hypocalcemia result,oliguria,hemodynamically stable,asthenia,hypothermia,natural,diarrhea,haemorrhage,unresponsiveness,,,,,,,,,,,,,,,,,
mitral  valve insufficiency,shortness of breath,dyspnea on exertion,asymptomatic,hypokinesia,dyspnea,syncope,thicken,left atrial hypertrophy,palpitation,fatigue,vomiting,pain,cardiomegaly,chest discomfort,,,,,,,,,,,,,,
arthritis,pain,hemodynamically stable,sleeplessness,asthenia,syncope,swelling,atypia,general unsteadiness,shortness of breath,distended abdomen,,,,,,,,,,,,,,,,,,
bronchitis,cough,wheezing,shortness of breath,chest tightness,fever,throat sore,productive cough,hepatosplenomegaly,night sweat,haemoptysis,labored breathing,snuffle,hacking cough,dyspnea,chill,stridor,decreased body weight,,,,,,,,,,,
hemiparesis,dysarthria,paresis,asthenia,aphagia,seizure,speech slurred,focal seizures,hemiplegia,abnormal sensation,unresponsiveness,stupor,sleepy,fremitus,Stahli's line,stinging sensation,paralyse,clonus,facial paresis,,,,,,,,,,
osteoporosis,prostatism,fall,hirsutism,sniffle,distended  abdomen,vertigo,numbness  of hand,bradykinesia,pain,syncope,out  of breath,apyrexial,urge  incontinence,lightheadedness,,,,,,,,,,,,,,
transient  ischemic attack,speech slurred,dysarthria,facial paresis,asthenia,neck stiffness,vertigo,numbness,lightheadedness,extrapyramidal sign,Stahli's line,vision blurred,headache,room spinning,syncope,difficulty,rambling speech,clumsiness,,,,,,,,,,,
adenocarcinoma,mass of body structure,lesion,decreased body weight,constipation,fremitus,decreased stool caliber,satiety early,hematochezia,egophony,pain,scar tissue,pain abdominal,,,,,,,,,,,,,,,,
